circuito_id,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS,JUNTOS POR EL CAMBIO,LA LIBERTAD AVANZA,UNION POR LA PATRIA
00800,151,376,1055,1888,1946
00801,0,2,14,12,10
00803,48,188,969,1093,1214
00804,3,7,103,81,89
00806,184,609,2959,2699,3945
00807,0,0,6,8,2
00808,2,1,9,2,3
0080A,258,769,3520,8992,4571
0080B,1,0,2,2,27
00810,7,79,198,306,144
00811,0,4,29,12,41
00812,0,1,10,0,4
00813,0,2,43,22,11
00815,104,373,3016,3176,2594
00816,1,11,138,122,92
00817,25,31,301,361,360
00818,0,1,8,11,8
00819,0,5,70,60,43
0081A,5,11,13,63,106
00820,18,179,585,761,409
00823,256,1042,4754,4245,4102
00824,2,3,14,5,15
00825,0,1,36,13,9
00826,1,10,51,26,16
00827,7,30,260,232,147
00828,0,4,8,21,5
00829,0,1,6,10,6
0082A,139,337,905,5718,3548
0082B,2,1,11,19,61
00830,183,1723,3441,4407,3895
00832,123,369,2810,2195,2690
00833,5,4,89,46,52
00834,0,4,74,48,37
00835,0,3,52,22,23
00836,4,13,95,65,117
00839,21,73,384,426,462
0083A,54,157,669,1297,3222
0083B,2,7,45,11,471
0083C,2,0,3,8,82
00840,231,763,3453,4222,2849
00841,9,36,104,117,133
00842,9,34,206,261,98
00843,7,16,115,121,67
00844,2,13,81,51,35
00846,325,1017,6367,6471,5528
00847,6,14,104,77,62
00848,0,4,20,24,12
00849,21,41,286,266,269
0084A,47,96,313,1012,1110
0084B,3,3,137,74,644
0084C,1,0,73,26,377
00850,10,84,245,283,307
00851,2,0,14,19,9
00852,2,1,38,34,6
00854,421,1300,5111,6520,6915
00855,30,76,417,423,336
00856,9,37,164,174,174
00857,8,43,209,226,188
00858,1,5,22,49,72
0085A,4,25,119,411,325
0085B,0,3,11,19,49
00860,261,951,3832,4334,4790
00861,18,27,160,136,149
00863,11,45,181,289,249
00864,3,25,166,194,316
00866,323,595,4674,3920,4185
00867,14,30,216,238,232
00869,15,25,231,183,183
0086A,36,62,355,824,588
00870,71,367,1159,1502,1087
00871,57,270,2239,1574,1306
00872,154,173,2100,1179,1465
00873,105,99,1311,679,839
00874,59,50,528,406,737
00875,46,51,478,401,549
00876,78,57,354,545,824
00877,512,417,2893,3590,6836
00878,570,423,2852,3621,7208
00879,533,493,3644,3970,6291
0087A,2,10,48,166,361
00880,351,558,6410,3200,3686
00882,12,21,136,67,351
00887,236,284,5334,2159,1900
00888,393,439,6780,3024,2819
00889,632,601,7740,4890,6238
0088A,60,43,149,402,648
0088B,9,15,48,98,138
0088C,0,9,12,74,194
00890,143,909,2918,2745,2113
00891,1102,1276,17843,8462,8054
00892,1704,1666,15507,12377,19071
00893,678,728,10943,6489,7935
00894,82,85,2254,815,585
00895,207,308,8443,2684,1616
0089A,9,24,60,185,997
0089B,64,159,517,1425,998
0089C,9,17,82,173,202
0089D,0,2,12,39,46
0089E,4,3,14,43,45
00900,90,198,1021,1519,946
00901,592,1352,9729,6795,6972
00902,190,446,1938,1896,2184
00903,165,322,1006,1780,1991
00904,632,940,3539,5425,6625
00905,257,380,1171,2212,3497
00906,40,100,440,477,573
00907,44,60,200,348,420
00908,35,52,229,359,362
00909,13,25,114,109,73
0090A,735,913,903,3258,3628
0090B,20,16,22,168,161
0090C,0,0,1,5,8
00910,42,261,793,798,715
00911,92,232,997,1195,1411
00913,616,2313,8228,10535,10929
00914,27,74,246,507,740
00915,38,155,421,730,669
00917,24,92,343,669,1108
00918,5,6,43,44,21
00919,0,5,20,23,11
0091A,258,975,1704,7154,5388
0091B,10,60,65,126,171
0091C,5,100,72,141,72
0091D,6,40,142,176,82
00920,37,203,739,859,784
00922,25,107,473,590,724
00924,594,673,4283,5745,9918
00925,717,706,3636,6257,13431
00926,75,85,334,606,1330
00927,0,0,11,8,12
00929,101,229,2194,1965,2815
0092A,40,31,97,205,272
0092B,3,1,6,3,18
0092C,7,2,6,3,13
00930,54,404,1047,1425,833
00931,3,5,211,111,195
00934,6,12,99,92,35
00937,24,80,272,348,380
00938,4,8,48,53,42
00939,0,3,47,25,10
0093A,150,619,1672,3888,2811
0093B,5,14,18,34,54
00940,47,146,441,782,750
00944,51,200,2009,1608,2231
00945,0,0,12,8,9
00946,0,0,9,6,6
00947,1,1,57,37,21
00948,0,1,11,14,10
00949,1,9,75,56,91
0094A,9,26,138,241,1149
00950,5,67,133,220,191
00951,13,32,590,513,751
00953,97,386,1503,2275,1988
00954,11,17,172,134,88
00955,35,95,389,453,389
00956,2,5,49,65,45
00957,534,1554,8197,7683,7426
00958,14,31,176,235,251
0095A,85,324,948,1914,1178
00960,20,79,245,411,469
00961,70,210,1169,1374,854
00964,870,2351,9160,9514,11586
00965,5,26,90,190,246
00968,1,2,11,13,4
00969,14,34,100,165,140
0096A,19,201,52,80,291
0096B,4,13,13,24,72
00970,0,8,50,83,31
00972,16,34,474,506,489
00973,8,20,93,113,158
00975,21,34,201,198,192
0097A,15,11,51,181,138
0097B,2,6,13,25,40
0097C,0,11,10,37,78
0097D,0,0,0,0,0
00980,274,759,5314,5012,5713
00981,0,0,39,23,21
00982,0,1,19,9,10
